#k  (ka/2{\pi}),  n_g
0,-Inf
0.00625,-522.68
0.0125,-261.38
0.01875,-174.3
0.025,-130.77
0.03125,-104.67
0.0375,-87.275
0.04375,-74.859
0.05,-65.554
0.05625,-58.323
0.0625,-52.545
0.06875,-47.823
0.075,-43.893
0.08125,-40.573
0.0875,-37.732
0.09375,-35.275
0.1,-33.129
0.10625,-31.24
0.1125,-29.566
0.11875,-28.073
0.125,-26.734
0.13125,-25.527
0.1375,-24.435
0.14375,-23.443
0.15,-22.539
0.15625,-21.713
0.1625,-20.957
0.16875,-20.264
0.175,-19.628
0.18125,4.34
0.1875,4.3334
0.19375,4.3343
0.2,4.3423
0.20625,4.3572
0.2125,4.3793
0.21875,4.4088
0.225,4.4462
0.23125,4.4924
0.2375,4.5483
0.24375,4.6152
0.25,4.6946
0.25625,4.7886
0.2625,4.8995
0.26875,5.0303
0.275,5.1847
0.28125,5.3673
0.2875,5.5837
0.29375,5.8408
0.3,6.147
0.30625,6.513
0.3125,6.9513
0.31875,7.4774
0.325,8.1097
0.33125,8.8695
0.3375,9.7808
0.34375,10.868
0.35,12.155
0.35625,13.654
0.3625,15.364
0.36875,17.248
0.375,19.228
0.38125,21.176
0.3875,22.923
0.39375,24.301
0.4,25.194
0.40625,25.578
0.4125,25.528
0.41875,25.188
0.425,24.726
0.43125,24.303
0.4375,24.058
0.44375,24.116
0.45,24.608
0.45625,25.7
0.4625,27.654
0.46875,30.928
0.475,36.448
0.48125,46.382
0.4875,67.263
0.49375,131.8
0.5,4.1976e+16
